FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_56b,5180278,POINT (16.49457942377278 48.194250679255724),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_56c,5179936,POINT (16.351686158966444 48.165598771314976),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_56d,5179937,POINT (16.351970412200988 48.16583860280154),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_56e,5179938,POINT (16.304678132603183 48.21412530465918),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_56f,5179939,POINT (16.313039054168197 48.22031678884697),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_570,5179940,POINT (16.37152960577692 48.21440268976236),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_571,5179941,POINT (16.36771715803988 48.21458907304913),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_572,5179942,POINT (16.35036382042096 48.21244068722826),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_573,5179943,POINT (16.3506935424202 48.212566211050294),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_574,5179994,POINT (16.323753405343112 48.191365388408556),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_575,5179995,POINT (16.35681292441034 48.204772711249035),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_576,5179714,POINT (16.276058705195315 48.19634041871173),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_577,5179715,POINT (16.275334863219875 48.1968615946059),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_578,5179716,POINT (16.274191313966593 48.19729269520929),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_579,5179717,POINT (16.3872531178294 48.23408557206804),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_57a,5179718,POINT (16.386763853050223 48.23437959197255),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_57b,5179719,POINT (16.38702789810857 48.23388795083457),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_57c,5179720,POINT (16.381857691070202 48.23969220713798),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_57d,5179721,POINT (16.368255894835453 48.240192750974806),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_57e,5179722,POINT (16.378045069131044 48.2488411304917),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_57f,5179723,POINT (16.390199704551982 48.235977704281964),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_580,5179724,POINT (16.376886486825324 48.2370922354854),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_581,5179725,POINT (16.378636076994116 48.24000600518917),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_582,5179726,POINT (16.381259814035737 48.245028447090974),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_583,5179727,POINT (16.380302703541627 48.24452907715278),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_584,5179728,POINT (16.374139864476025 48.24439244800721),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_585,5179729,POINT (16.30754038158838 48.215830748873984),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_586,5179730,POINT (16.327218716115954 48.20988529917724),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_587,5179731,POINT (16.327474674971587 48.210103530736056),Trinkbrunnen mit Tränke,5,
