FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_35a,5179023,POINT (16.52447729006859 48.213118529595725),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_35b,5179024,POINT (16.353309794072803 48.216018911436436),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_35c,5179025,POINT (16.350388809236538 48.21279483425418),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_35d,5179026,POINT (16.457198137593828 48.21472511566598),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_35e,5179027,POINT (16.44829804507049 48.248638012104685),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_35f,5179028,POINT (16.371969084073314 48.19932111313163),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_360,5179029,POINT (16.393599964694335 48.273008273705095),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_361,5179030,POINT (16.476679288943096 48.21415761973705),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_362,5179031,POINT (16.408311158852797 48.204838216479914),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_363,5179032,POINT (16.345721660670787 48.20057101955573),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_364,5179033,POINT (16.347334564151296 48.198893745101444),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_365,5179034,POINT (16.402098950947646 48.20587689483568),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_366,5179035,POINT (16.35797090843787 48.227062078990095),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_367,5179036,POINT (16.25753346179401 48.165993177359525),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_368,5179037,POINT (16.345341438646084 48.20883593494512),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_369,5179038,POINT (16.3591209215504 48.223727779402935),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_36a,5179039,POINT (16.372145771666062 48.19930629277399),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_36b,5179040,POINT (16.348900933766483 48.21681838566757),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_36c,5178811,POINT (16.377809714428842 48.17356579957927),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_36d,5178812,POINT (16.30638638952806 48.220572117551),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_36e,5178813,POINT (16.485170280838307 48.15986476058232),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_36f,5178814,POINT (16.2940349072216 48.19878709296876),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_370,5178815,POINT (16.335184373199734 48.21344217826919),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_371,5178816,POINT (16.326072499817084 48.21293674876512),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_372,5178817,POINT (16.432028764790996 48.28772619797692),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_373,5178818,POINT (16.348623793041686 48.19481237810814),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_374,5178819,POINT (16.450005525224274 48.28693760059171),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_375,5178820,POINT (16.39487008918368 48.196638015433656),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_376,5178821,POINT (16.33675416898274 48.22358106894626),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_377,5178822,POINT (16.46828534510763 48.234503404627084),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_378,5178823,POINT (16.450200079137304 48.25491733792697),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_379,5178824,POINT (16.378631101449283 48.20364459353955),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_37a,5178825,POINT (16.412686451755878 48.18156281302719),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_37b,5178826,POINT (16.405129626107115 48.16189674381648),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_37c,5178827,POINT (16.407226920857582 48.24738428055868),Hundetrinkbrunnen,2,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_37d,5178828,POINT (16.41134783019325 48.2415973795685),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_37e,5178829,POINT (16.337666717934837 48.18984342873222),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_37f,5178830,POINT (16.305959805619754 48.19830945957072),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_380,5178831,POINT (16.401446053683905 48.19315128478141),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_381,5178832,POINT (16.345040586937937 48.184749790565725),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_382,5178833,POINT (16.321554276534457 48.18582190489354),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_383,5178834,POINT (16.385749267471102 48.2252128752124),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_384,5178835,POINT (16.3349822626053 48.18474621861548),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_385,5178836,POINT (16.36951472467717 48.2259031305271),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_386,5178837,POINT (16.28516648028311 48.195686422465265),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_387,5178838,POINT (16.2488619593373 48.20257314472529),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_388,5178839,POINT (16.332501200868972 48.20384632659529),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_389,5178840,POINT (16.398460930059688 48.26399183925598),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_38a,5178841,POINT (16.412323245001556 48.27753177558369),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_38b,5178842,POINT (16.405559969730646 48.27657645518584),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_38c,5178843,POINT (16.43187700827848 48.24703515987151),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_38d,5178844,POINT (16.392305218243013 48.139794023628085),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_38e,5178845,POINT (16.414063010634543 48.1762154057109),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_38f,5178846,POINT (16.280759630045548 48.13594828933882),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_390,5178847,POINT (16.2703690764161 48.151961372115856),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_391,5178848,POINT (16.26755562008507 48.149164863078155),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_392,5178849,POINT (16.287966187311078 48.167743840332285),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_393,5178850,POINT (16.3274566536042 48.16503957279868),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_394,5178851,POINT (16.335197286505426 48.18490034521462),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_395,5178852,POINT (16.339262964702208 48.17791193917041),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_396,5178853,POINT (16.46271670967911 48.155572147663435),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_397,5178854,POINT (16.466172564865587 48.15191286717997),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_398,5178855,POINT (16.398108441119774 48.21366900533003),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_399,5178856,POINT (16.385468909467072 48.17968332757331),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_39a,5178857,POINT (16.399967539935123 48.25489771720832),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_39b,5178858,POINT (16.399977566509193 48.2548950190992),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_39c,5178859,POINT (16.39998645999892 48.25489188725227),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_39d,5178860,POINT (16.4078565556971 48.255083226926516),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_39e,5178861,POINT (16.407867102126325 48.25508467542444),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_39f,5178862,POINT (16.303068309606953 48.19544359716546),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3a0,5178863,POINT (16.30306593303308 48.195457918150375),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3a1,5178864,POINT (16.303063676575626 48.19547161054519),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3a2,5178865,POINT (16.344880562376677 48.19947826087035),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3a3,5178866,POINT (16.344878721577594 48.19949069949378),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3a4,5178867,POINT (16.3448768794324 48.19950313811727),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3a5,5178868,POINT (16.319811877907767 48.20326007760122),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3a6,5178869,POINT (16.34876235430534 48.194605161383535),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3a7,5178870,POINT (16.348148467767263 48.19512123573324),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3a8,5178871,POINT (16.330668686257233 48.17342841350278),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3a9,5178872,POINT (16.368143452014404 48.17516189960775),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3aa,5178873,POINT (16.475792676093196 48.212427822828616),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ab,5178874,POINT (16.369810722839663 48.19999168253974),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ac,5178875,POINT (16.488609058102643 48.212109370004114),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ad,5178876,POINT (16.315389285770376 48.20629878923183),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ae,5178877,POINT (16.49078442076296 48.22576352024723),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3af,5178878,POINT (16.335557064779955 48.21332707780541),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3b0,5178879,POINT (16.353712933712092 48.191083167373634),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3b1,5178880,POINT (16.32616581460179 48.21267049694506),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3b2,5178881,POINT (16.27097781300317 48.19054073018538),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3b3,5178882,POINT (16.270953862342964 48.19047437554558),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3b4,5178883,POINT (16.270915181448068 48.19046652594906),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3b5,5178884,POINT (16.474272697542144 48.2226826424295),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3b6,5178885,POINT (16.328391604582812 48.17284071596617),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3b7,5178886,POINT (16.40520469098672 48.21685803645159),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3b8,5178887,POINT (16.32477492379315 48.1973581939483),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3b9,5178888,POINT (16.34712124742844 48.19248049694053),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ba,5178889,POINT (16.355724368765134 48.203718356606565),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3bb,5178890,POINT (16.44176599035841 48.192576003940786),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3bc,5178891,POINT (16.406485092264738 48.20393248966307),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3bd,5178892,POINT (16.41712489120622 48.19917513662187),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3be,5178893,POINT (16.384911585046485 48.21321397477169),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3bf,5178894,POINT (16.3269815151467 48.15902195510539),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3c0,5178895,POINT (16.377998769137147 48.248853696382255),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3c1,5178896,POINT (16.417178834166318 48.29465280404146),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3c2,5178897,POINT (16.383826852584022 48.26992862277378),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3c3,5178898,POINT (16.461142408168325 48.23408197522817),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3c4,5178899,POINT (16.441504198521873 48.24520291849439),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3c5,5178900,POINT (16.477668579770384 48.253776573084885),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3c6,5178901,POINT (16.33499857781913 48.201880584067005),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3c7,5178902,POINT (16.334692756629657 48.201903233797466),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3c8,5178903,POINT (16.348705483204547 48.19460081225118),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3c9,5178904,POINT (16.413576828555865 48.22513267550932),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ca,5178905,POINT (16.38158907472165 48.20376163400028),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3cb,5178906,POINT (16.475525955361096 48.21245032566895),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3cc,5179891,POINT (16.286697912907645 48.152132789244334),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3cd,5179892,POINT (16.352218243853383 48.1534067291565),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ce,5179893,POINT (16.367693291941865 48.18698161341856),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3cf,5179894,POINT (16.32834662879232 48.1805696600452),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3d0,5179895,POINT (16.402745857926153 48.25106006467786),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3d1,5179896,POINT (16.394943217008837 48.216781525181666),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3d2,5179897,POINT (16.522258630403655 48.21334029357612),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3d3,5179898,POINT (16.401177158214924 48.20607421398069),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3d4,5179899,POINT (16.325919119626093 48.212907807021445),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3d5,5179900,POINT (16.405364089819077 48.145469956919236),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3d6,5179901,POINT (16.399191083335374 48.261364839995146),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3d7,5179902,POINT (16.362244699237593 48.20560571065697),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3d8,5179903,POINT (16.38738258484019 48.2193827359889),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3d9,5179904,POINT (16.340710148423256 48.19574639037349),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3da,5179905,POINT (16.38013994965498 48.21267866153135),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3db,5179906,POINT (16.353772483031253 48.185515792997386),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3dc,5179907,POINT (16.350973226314125 48.20408219551054),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3dd,5179908,POINT (16.350050608126256 48.210650123236654),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3de,5179909,POINT (16.383434803863988 48.161178932405875),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3df,5179910,POINT (16.330225280194046 48.17447099782001),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3e0,5179911,POINT (16.313690889719613 48.1979916915006),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3e1,5179912,POINT (16.30319009107627 48.196594394266356),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3e2,5179913,POINT (16.30960620707296 48.21383273969224),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3e3,5179914,POINT (16.33413861821566 48.22110528373186),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3e4,5179915,POINT (16.34581622617574 48.22351117798423),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3e5,5179916,POINT (16.36717188370089 48.23534630783313),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3e6,5179917,POINT (16.400071175975953 48.25730285306067),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3e7,5179918,POINT (16.320583658558697 48.15051443043743),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3e8,5179919,POINT (16.42904970238414 48.169600760081266),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3e9,5179920,POINT (16.30837793132202 48.20924375473064),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ea,5179921,POINT (16.33559355025257 48.21329294258473),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3eb,5179922,POINT (16.335153362386485 48.21363645385691),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ec,5179923,POINT (16.321060519056584 48.21275062865428),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ed,5179924,POINT (16.30820227922436 48.22193396569231),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ee,5179925,POINT (16.310947753701658 48.22272903883239),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ef,5179926,POINT (16.309050875546905 48.2215501054832),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3f0,5179927,POINT (16.39274938371306 48.23305882854912),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3f1,5179928,POINT (16.384903424362584 48.21323397724956),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3f2,5179929,POINT (16.39711571566864 48.227069265420916),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3f3,5179930,POINT (16.397239324702017 48.22703201933415),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3f4,5179931,POINT (16.397985108729376 48.22602118401569),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3f5,5179932,POINT (16.396516840424063 48.226329756080084),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3f6,5179933,POINT (16.39712697765814 48.22532314959821),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3f7,5179934,POINT (16.392274461735152 48.140076707503155),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3f8,5179935,POINT (16.380962877658817 48.154398616428765),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3f9,5179996,POINT (16.412358326406782 48.230208721072465),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3fa,5179997,POINT (16.32710593867481 48.19643727548291),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3fb,5179998,POINT (16.353594143605577 48.236409012095734),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3fc,5179999,POINT (16.358391664413023 48.19307213270241),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3fd,5180000,POINT (16.485276520177308 48.23642278142205),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3fe,5180001,POINT (16.439133474263553 48.241115752044436),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_3ff,5180002,POINT (16.342072795249166 48.19628271997627),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_400,5180003,POINT (16.2972784513242 48.237859081334896),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_401,5180004,POINT (16.43926736725859 48.26791364776358),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_402,5180005,POINT (16.309847164131853 48.16848181435582),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_403,5180006,POINT (16.45167075936799 48.282622158077515),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_404,5180007,POINT (16.542344673633284 48.21882003059065),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_405,5180008,POINT (16.326896151711715 48.20232179968743),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_406,5180009,POINT (16.283787520177878 48.22678320641901),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_407,5180010,POINT (16.4456570475789 48.25438391815933),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_408,5180011,POINT (16.38735922654052 48.221738996945646),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_409,5180012,POINT (16.415567593194535 48.2052462029321),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_40a,5180013,POINT (16.33641797622934 48.21616265614394),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_40b,5180014,POINT (16.43085262810966 48.27570278323318),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_40c,5180015,POINT (16.31995484235633 48.20455267004242),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_40d,5180016,POINT (16.427952320089318 48.27365372758543),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_40e,5180017,POINT (16.394858085455283 48.20784851717929),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_40f,5180018,POINT (16.30571873338533 48.1918355716468),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_410,5180019,POINT (16.438092815801113 48.207615207195026),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_411,5180020,POINT (16.42042970531141 48.227019057788134),Trinkhydrant,10,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_412,5180021,POINT (16.425837068461274 48.224529885061486),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_413,5180022,POINT (16.41655249001476 48.21777917622651),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_414,5180023,POINT (16.386083308082355 48.2427183846462),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_415,5180024,POINT (16.417041011235973 48.22253216823118),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_416,5180025,POINT (16.433121687994873 48.20587321611565),Auslaufbrunnen,7,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_417,5180026,POINT (16.402800386798706 48.23350876448097),Auslaufbrunnen,7,
